return_year,age,n,total,prop
2003,3,6890.5199999999995,6890.5199999999995,1
2004,3,1396.5,3013.6,0.4633992567029467
2004,4,1617.1,3013.6,0.5366007432970533
2005,4,246.05,311.8,0.7891276459268762
2005,5,65.75,311.8,0.2108723540731238
2006,5,1,1,1
2009,3,284.03000000000003,284.03000000000003,1
2010,3,999.07,1039.65,0.9609676333381426
2010,4,40.58,1039.65,0.03903236666185735
2011,3,3636.2200000000003,3756.1000000000004,0.9680839168286254
2011,4,119.88,3756.1000000000004,0.03191608317137456
2012,3,9743.23,10162.539999999999,0.9587396457972122
2012,4,418.3,10162.539999999999,0.04116096960011966
2012,5,1.01,10162.539999999999,9.93846026682306e-5
2013,3,7999.01,10624.5,0.7528834298084616
2013,4,2624.4900000000002,10624.5,0.24702244811520543
2013,5,1,10624.5,9.41220763330039e-5
2014,3,2867.87,6018.29,0.476525724084416
2014,4,3140.9300000000003,6018.29,0.5218974160434277
2014,5,9.49,6018.29,0.0015768598721563767
2015,3,1847.18,2687.91,0.6872179500057666
2015,4,816.65,2687.91,0.3038234167066606
2015,5,24.080000000000002,2687.91,0.008958633287572874
2016,3,1994.62,2570.89,0.7758480526199099
2016,4,528.29,2570.89,0.2054891496719035
2016,5,47.980000000000004,2570.89,0.01866279770818666
2017,3,1618.31,1807.82,0.8951720857164983
2017,4,167.17,1807.82,0.09247048931862685
2017,5,20.34,1807.82,0.011251120133641624
2017,6,2,1807.82,0.001106304831233198
2018,3,1615.8,1744.1599999999999,0.926405834327126
2018,4,125.07000000000001,1744.1599999999999,0.07170787083753785
2018,5,3.29,1744.1599999999999,0.001886294835336208
2019,3,4674.68,4733.34,0.9876070597083666
2019,4,54.04,4733.34,0.011416885328330522
2019,5,4.62,4733.34,9.760549633028685e-4
2020,3,2715.16,4003.9,0.6781288243962137
2020,4,1286.8600000000001,4003.9,0.3214016334074278
2020,5,1.88,4003.9,4.695421963585504e-4
2021,3,1609,2034.8,0.7907411047768823
2021,4,421,2034.8,0.2068999410261451
2021,5,4.8,2034.8,0.0023589541969726755
2022,3,3273.92,3457.7000000000003,0.9468490615148798
2022,4,179.78,3457.7000000000003,0.05199410012436012
2022,5,4,3457.7000000000003,0.0011568383607600428
2023,3,6252.92,7170.59,0.872023083177256
2023,4,904.67,7170.59,0.12616395582511342
2023,5,13,7170.59,0.0018129609976305994
2024,3,9.37,176.4,0.05311791383219954
2024,4,167.03,176.4,0.9468820861678005
