release_group,return_year,age,n,total,prop
ReleaseSite: AMERICAN,2011,3,89.38,89.38,1
ReleaseSite: AMERICAN,2012,3,874.28,876.31,0.997683468179069
ReleaseSite: AMERICAN,2012,4,2.0300000000000002,876.31,0.0023165318209309497
ReleaseSite: AMERICAN,2013,3,1664.57,2110.64,0.788656521244741
ReleaseSite: AMERICAN,2013,4,446.07,2110.64,0.21134347875525908
ReleaseSite: AMERICAN,2014,3,1326.59,2079.48,0.6379431396310615
ReleaseSite: AMERICAN,2014,4,752.8900000000001,2079.48,0.3620568603689384
ReleaseSite: AMERICAN,2015,3,1387.75,1822.8799999999999,0.7612953129114369
ReleaseSite: AMERICAN,2015,4,425.32,1822.8799999999999,0.2333230931273589
ReleaseSite: AMERICAN,2015,5,9.81,1822.8799999999999,0.005381593961204249
ReleaseSite: AMERICAN,2016,4,336.92,344.76,0.9772595428704026
ReleaseSite: AMERICAN,2016,5,7.84,344.76,0.0227404571295974
ReleaseSite: AMERICAN,2017,5,6.29,6.29,1
ReleaseSite: AMERICAN,2018,3,309.08,309.08,1
ReleaseSite: AMERICAN,2019,3,2281.59,2289.23,0.9966626332871752
ReleaseSite: AMERICAN,2019,4,7.64,2289.23,0.003337366712824836
ReleaseSite: AMERICAN,2020,3,54,557.08,0.09693401306814102
ReleaseSite: AMERICAN,2020,4,503.08000000000004,557.08,0.903065986931859
ReleaseSite: AMERICAN,2021,3,791.62,812.58,0.9742056166777424
ReleaseSite: AMERICAN,2021,4,16.16,812.58,0.01988727263777105
ReleaseSite: AMERICAN,2021,5,4.8,812.58,0.00590711068448645
ReleaseSite: AMERICAN,2022,3,1253.75,1344.88,0.9322393075962166
ReleaseSite: AMERICAN,2022,4,91.13000000000001,1344.88,0.06776069240378324
ReleaseSite: AMERICAN,2023,4,246.93,247.93,0.9959666034767878
ReleaseSite: AMERICAN,2023,5,1,247.93,0.0040333965232121965
ReleaseSite: other,2011,3,2373.4,2510.7400000000002,0.9452989955152664
ReleaseSite: other,2011,4,137.34,2510.7400000000002,0.054701004484733584
ReleaseSite: other,2012,3,5812.51,6188.41,0.9392574183029244
ReleaseSite: other,2012,4,374.89,6188.41,0.06057937337700637
ReleaseSite: other,2012,5,1.01,6188.41,1.6320832006929081e-4
ReleaseSite: other,2013,3,5389.03,7267.51,0.7415235754749563
ReleaseSite: other,2013,4,1878.48,7267.51,0.25847642452504366
ReleaseSite: other,2014,3,860.28,2652.13,0.3243732396224921
ReleaseSite: other,2014,4,1771.0900000000001,2652.13,0.667799089788208
ReleaseSite: other,2014,5,20.759999999999998,2652.13,0.00782767058929992
ReleaseSite: other,2015,3,357.85,771.85,0.4636263522705189
ReleaseSite: other,2015,4,398.73,771.85,0.5165900110125025
ReleaseSite: other,2015,5,15.27,771.85,0.019783636716978685
ReleaseSite: other,2016,3,1824.74,2039.67,0.8946251109248065
ReleaseSite: other,2016,4,174.79,2039.67,0.08569523501350708
ReleaseSite: other,2016,5,40.14,2039.67,0.01967965406168645
ReleaseSite: other,2017,3,2128.47,2306.1699999999996,0.9229458366035462
ReleaseSite: other,2017,4,161.65,2306.1699999999996,0.07009457238625082
ReleaseSite: other,2017,5,14.05,2306.1699999999996,0.006092352255037574
ReleaseSite: other,2017,6,2,2306.1699999999996,8.67238755165491e-4
ReleaseSite: other,2018,3,1236.39,1373.6100000000001,0.9001026492235787
ReleaseSite: other,2018,4,133.93,1373.6100000000001,0.09750220222625053
ReleaseSite: other,2018,5,3.29,1373.6100000000001,0.0023951485501707177
ReleaseSite: other,2019,3,2430.07,2483.09,0.9786475721782134
ReleaseSite: other,2019,4,47.4,2483.09,0.019089118799560222
ReleaseSite: other,2019,5,5.62,2483.09,0.002263309022226339
ReleaseSite: other,2020,3,2714.35,3540.11,0.7667417114157469
ReleaseSite: other,2020,4,823.88,3540.11,0.2327272316396948
ReleaseSite: other,2020,5,1.88,3540.11,5.310569445582199e-4
ReleaseSite: other,2021,3,867.33,1427.31,0.6076675704647204
ReleaseSite: other,2021,4,559.98,1427.31,0.3923324295352797
ReleaseSite: other,2022,3,2154.65,2260.94,0.9529885799711625
ReleaseSite: other,2022,4,102.29,2260.94,0.04524224437623289
ReleaseSite: other,2022,5,4,2260.94,0.0017691756526046689
ReleaseSite: other,2023,3,9267.59,10017.61,0.9251298463405941
ReleaseSite: other,2023,4,738.02,10017.61,0.07367226314460235
ReleaseSite: other,2023,5,12,10017.61,0.001197890514803431
ReleaseSite: other,2024,3,12.04,261.21,0.04609318173117415
ReleaseSite: other,2024,4,246.5,261.21,0.9436851575360822
ReleaseSite: other,2024,5,2.67,261.21,0.01022166073274377
