release_group,return_year,age,n
ReleaseSite: AMERICAN,2011,3,89.38
ReleaseSite: AMERICAN,2012,3,864.85
ReleaseSite: AMERICAN,2012,4,1.01
ReleaseSite: AMERICAN,2013,3,1664.57
ReleaseSite: AMERICAN,2013,4,446.07
ReleaseSite: AMERICAN,2014,3,1326.59
ReleaseSite: AMERICAN,2014,4,752.8900000000001
ReleaseSite: AMERICAN,2015,3,1279.05
ReleaseSite: AMERICAN,2015,4,346.46
ReleaseSite: AMERICAN,2015,5,9.81
ReleaseSite: AMERICAN,2016,4,336.92
ReleaseSite: AMERICAN,2016,5,7.84
ReleaseSite: AMERICAN,2017,5,6.29
ReleaseSite: AMERICAN,2018,3,308.04
ReleaseSite: AMERICAN,2019,3,2271.4700000000003
ReleaseSite: AMERICAN,2019,4,7.64
ReleaseSite: AMERICAN,2020,3,52
ReleaseSite: AMERICAN,2020,4,503.08000000000004
ReleaseSite: AMERICAN,2021,3,729.4
ReleaseSite: AMERICAN,2021,4,2
ReleaseSite: AMERICAN,2021,5,4.8
ReleaseSite: AMERICAN,2022,3,1249.74
ReleaseSite: AMERICAN,2022,4,90.12
ReleaseSite: AMERICAN,2023,4,243.88
ReleaseSite: AMERICAN,2023,5,1
ReleaseSite: OTHER,2003,3,6890.5199999999995
ReleaseSite: OTHER,2004,3,1396.5
ReleaseSite: OTHER,2004,4,1617.1
ReleaseSite: OTHER,2005,4,246.05
ReleaseSite: OTHER,2005,5,65.75
ReleaseSite: OTHER,2006,5,1
ReleaseSite: OTHER,2009,3,278.98
ReleaseSite: OTHER,2010,3,901.36
ReleaseSite: OTHER,2010,4,39.58
ReleaseSite: OTHER,2011,3,2284.47
ReleaseSite: OTHER,2011,4,118.87
ReleaseSite: OTHER,2012,3,5664.58
ReleaseSite: OTHER,2012,4,373.88
ReleaseSite: OTHER,2012,5,1.01
ReleaseSite: OTHER,2013,3,5271.1900000000005
ReleaseSite: OTHER,2013,4,1820.03
ReleaseSite: OTHER,2014,3,818.4
ReleaseSite: OTHER,2014,4,1734.46
ReleaseSite: OTHER,2014,5,9.49
ReleaseSite: OTHER,2015,3,291.75
ReleaseSite: OTHER,2015,4,322.09000000000003
ReleaseSite: OTHER,2015,5,14.27
ReleaseSite: OTHER,2016,3,1412.23
ReleaseSite: OTHER,2016,4,152.7
ReleaseSite: OTHER,2016,5,40.14
ReleaseSite: OTHER,2017,3,1117.48
ReleaseSite: OTHER,2017,4,143.29
ReleaseSite: OTHER,2017,5,14.05
ReleaseSite: OTHER,2017,6,2
ReleaseSite: OTHER,2018,3,1070.38
ReleaseSite: OTHER,2018,4,120.07000000000001
ReleaseSite: OTHER,2018,5,3.29
ReleaseSite: OTHER,2019,3,2297.73
ReleaseSite: OTHER,2019,4,46.4
ReleaseSite: OTHER,2019,5,4.62
ReleaseSite: OTHER,2020,3,2567.24
ReleaseSite: OTHER,2020,4,759.8
ReleaseSite: OTHER,2020,5,1.88
ReleaseSite: OTHER,2021,3,769
ReleaseSite: OTHER,2021,4,419
ReleaseSite: OTHER,2022,3,1820.18
ReleaseSite: OTHER,2022,4,89.66
ReleaseSite: OTHER,2022,5,4
ReleaseSite: OTHER,2023,3,6252.92
ReleaseSite: OTHER,2023,4,660.79
ReleaseSite: OTHER,2023,5,12
ReleaseSite: OTHER,2024,3,9.37
ReleaseSite: OTHER,2024,4,167.03
