alternative,climate,weighted_median
NB,2011,8930.526273239246
PB1,2011,9920.607596687667
PB2,2011,11664.12979912683
PB2b,2011,11915.991792004126
PB2c,2011,11899.171038014074
PB3,2011,10562.721815276764
PB4,2011,10985.744878849528
PB5,2011,10429.024874013357
PB6,2011,10704.479676416677
NB,2014,5323.03673938911
PB1,2014,6468.776473861806
PB2,2014,9404.847090270823
PB2b,2014,9947.202748604059
PB2c,2014,10147.853052466722
PB3,2014,7185.676700573154
PB4,2014,7872.628804393502
PB5,2014,7537.64424344936
PB6,2014,7440.45900313277
NB,2017,7894.981736264997
PB1,2017,8454.535546810026
PB2,2017,9708.05835590942
PB2b,2017,10497.371161559111
PB2c,2017,10688.195834326503
PB3,2017,8523.809909718515
PB4,2017,8636.431540819402
PB5,2017,8209.513039388168
PB6,2017,8889.605066782666
NB,2020,8250.279606451284
PB1,2020,9396.966771486683
PB2,2020,11241.586781919992
PB2b,2020,11535.822022728506
PB2c,2020,11556.732523252118
PB3,2020,10189.884760931767
PB4,2020,10685.745566788355
PB5,2020,10142.925832381767
PB6,2020,10366.985230233031
