sort,catchyy,loc_code,location,fishery,assn_run,cfhlh,cfhle,cfhfh,cfhfn,cfhfe,frhs,frhsn,frhfe,frhfn,frhfnc,frhft,frhftn,feafw,nimf,nimfn,nimftn,mokf,mokfn,mokft,mokfw,merf,noncv,hatchery,natural,totalrun
"A",2011,"6FCSABAT CNFH","CNFH","50","3",275.00,0.00,36775.0,221.00,12.00,0.00,0.00,2.00,261.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,2.00,0.00,37562.0,4818.00,42380
"A",2011,"6FCSABAT CNFH","CNFH","50","7",4463.00,1.00,92.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,4563.00,0.00,4534
"G",2011,"6FCSAFEA FRFH","FRFH","50","1",0.00,0.00,0.00,0.00,0.00,477.00,581.00,127.00,652.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,1844.00,125.00,1969
"G",2011,"6FCSAFEA FRFH","FRFH","50","3",0.00,0.00,4.00,835.00,1.00,1066.00,1306.00,528.00,27263.0,41.00,3.00,116.00,8.00,24.00,24.00,0.00,0.00,27.00,1.00,0.00,11.00,0.00,31260.0,1356.00,32616
"I",2011,"6FCSAAMN NBFH","NBFH","50","3",0.00,0.00,0.00,250.00,0.00,0.00,0.00,1.00,264.00,1.00,6.00,1.00,0.00,3286.00,4746.00,15.00,0.00,798.00,72.00,0.00,318.00,0.00,9759.00,2921.00,12680
"I",2011,"6FCSAAMN NBFW","NIMW","50","3",0.00,0.00,0.00,129.00,0.00,0.00,7.00,3.00,133.00,0.00,0.00,11.00,0.00,443.00,194.00,0.00,0.00,53.00,5.00,0.00,29.00,0.00,1008.00,2909.00,3917
"J",2011,"6FCSJMOK MRFI","MRFI","50","3",1.00,0.00,4.00,401.00,0.00,1.00,13.00,7.00,319.00,2.00,0.00,12.00,0.00,20.00,554.00,26.00,195.00,12303.0,1135.00,2.00,575.00,0.00,15572.0,350.00,15922
"M",2011,"6FCSJMER MRFF","MRFF","50","3",1.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,28.00,0.00,0.00,1.00,0.00,0.00,4.00,0.00,0.00,173.00,17.00,0.00,144.00,0.00,385.00,52.00,437
"B",2011,"6FCSACLR","CLR","54","3",0.00,0.00,112.00,0.00,4.00,0.00,22.00,4.00,240.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,391.00,4450.00,4841
"C",2011,"6FCSACOT","COT","54","3",0.00,0.00,905.00,143.00,0.00,0.00,0.00,0.00,173.00,6.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1234.00,910.00,2144
"D",2011,"6FCSAMLC","MLC","54","3",0.00,0.00,92.00,12.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.00,1376.00,1485
"E",2011,"6FCSABUT","BUTT","54","3",0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,29.00,390.00,419
"F",2011,"6FCSASAF ABRB","USAC","54","3",0.00,0.00,1311.00,131.00,25.00,0.00,37.00,38.00,1233.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,48.00,0.00,0.00,13.00,0.00,2848.00,7735.00,10583
"F",2011,"6FCSASAF ABRB","USAC","54","7",1384.00,148.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,81.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,1653.00,2072.00,3725
"G",2011,"6FCSAFEA","FEA","54","3",0.00,0.00,0.00,1487.00,0.00,1968.00,2010.00,860.00,35848.0,20.00,10.00,126.00,0.00,0.00,38.00,9.00,0.00,10.00,0.00,0.00,20.00,0.00,42406.0,4883.00,47289
"H",2011,"6FCSAFEA YUBAADG","YUBA","54","3",0.00,0.00,0.00,685.00,0.00,33.00,133.00,101.00,3734.00,0.00,0.00,116.00,0.00,65.00,0.00,0.00,0.00,97.00,0.00,0.00,18.00,0.00,4982.00,2741.00,7723
"H",2011,"6FCSAFEA YUBABDG","YUBB","54","3",0.00,0.00,0.00,81.00,0.00,7.00,14.00,7.00,243.00,0.00,0.00,7.00,0.00,54.00,27.00,0.00,0.00,27.00,7.00,0.00,0.00,0.00,473.00,925.00,1398
"I",2011,"6FCSAAMN","AMN","54","3",0.00,0.00,0.00,2448.00,0.00,0.00,0.00,10.00,974.00,0.00,19.00,0.00,0.00,3630.00,6528.00,18.00,0.00,340.00,83.00,0.00,97.00,23.00,14170.0,7150.00,21320
"J",2011,"6FCSJMOK","MOKE","54","3",0.00,0.00,0.00,68.00,0.00,0.00,2.00,1.00,53.00,0.00,0.00,2.00,0.00,3.00,83.00,4.00,29.00,1840.00,170.00,0.00,86.00,0.00,2342.00,318.00,2660
"K",2011,"6FCSJSTA","STA","54","3",0.00,0.00,0.00,227.00,0.00,0.00,0.00,0.00,36.00,0.00,0.00,0.00,0.00,0.00,35.00,2.00,2.00,273.00,166.00,0.00,137.00,0.00,877.00,186.00,1063
"L",2011,"6FCSJTUO","TUO","54","3",0.00,0.00,0.00,76.00,0.00,0.00,2.00,4.00,122.00,0.00,0.00,0.00,0.00,0.00,8.00,2.00,0.00,185.00,46.00,0.00,192.00,0.00,638.00,240.00,878
"M",2011,"6FCSJMER","MER","54","3",0.00,0.00,0.00,253.00,0.00,0.00,0.00,0.00,33.00,8.00,0.00,0.00,0.00,0.00,82.00,4.00,0.00,411.00,250.00,0.00,398.00,0.00,1440.00,175.00,1615
"Z",2011,"6FCSJCAL","CAL","54","3",0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,1.00,0.00,29.00,9.00,0.00,12.00,0.00,63.00,402.00,465
"F",2011,"6FCSASAF","SAF","99","3",62.00,0.00,13905.0,300.00,0.00,0.00,45.00,30.00,555.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,14912.0,5059.00,19971
"F",2011,"6FCSASBF","SBF","99","3",233.00,0.00,610.00,1344.00,0.00,0.00,52.00,78.00,5421.00,0.00,0.00,26.00,0.00,2369.00,914.00,25.00,0.00,658.00,126.00,0.00,213.00,26.00,12094.0,2806.00,14900
"F",2011,"6FCSASAF","SAF","99","7",1126.00,0.00,38.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,1183.00,547.00,1730
"G",2011,"6FCSAFEA","FEA","99","3",0.00,0.00,0.00,299.00,0.00,19.00,0.00,40.00,3118.00,0.00,0.00,39.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3515.00,703.00,4218
"I",2011,"6FCSAAMN","AMN","99","3",0.00,0.00,0.00,2252.00,0.00,0.00,38.00,0.00,1663.00,0.00,0.00,77.00,0.00,9078.00,6318.00,0.00,0.00,752.00,38.00,0.00,78.00,0.00,20293.0,1118.00,21411
