sort,catchyy,loc_code,location,fishery,sam_run,sacw,cfhlh,cfhfh,cfhfn,frhs,frhsn,frhfe,frhfn,frhfnc,frhftn,nimf,nimfn,mokf,mokfn,mokft,merf,merft,noncv,hatchery,natural,totalrun,hat_prop,id_code,run
"A","2014","6FCSABAT CNFH","CNFH","50","3",0.00,0.00,15961.0,153.00,1.00,2.00,12.00,579.00,58.00,4.00,0.00,4.00,0.00,8.00,0.00,0.00,35.00,0.00,16818.0,2022.00,18840,0.893,"CNFH503","Fall"
"A","2014","6FCSABAT CNFH","CNFH","50","7",0.00,6707.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6707.00,107.00,6814,0.984,"CNFH507","Late-fall"
"G","2014","6FCSAFEA FRFH","FRFH","50","1",0.00,0.00,0.00,0.00,2251.00,334.00,1.00,182.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2768.00,8.00,2776,0.997,"FRFH501","Spring"
"G","2014","6FCSAFEA FRFH","FRFH","50","3",0.00,0.00,4.00,76.00,2360.00,930.00,660.00,17288.0,723.00,30.00,4.00,10.00,1.00,40.00,4.00,1.00,42.00,0.00,22174.0,1246.00,23420,0.947,"FRFH503","Fall"
"I","2014","6FCSAAMN NBFH","NBFH","50","3",0.00,0.00,0.00,45.00,0.00,0.00,17.00,217.00,14.00,0.00,2794.00,1996.00,5.00,1769.00,259.00,0.00,111.00,0.00,7227.00,1116.00,8343,0.866,"NBFH503","Fall"
"J","2014","6FCSJMOK MRFI","MRFI","50","3",0.00,6.00,8.00,16.00,0.00,0.00,10.00,245.00,48.00,0.00,4.00,92.00,240.00,5907.00,658.00,2.00,357.00,0.00,7595.00,1225.00,8820,0.861,"MRFI503","Fall"
"M","2014","6FCSJMER MRFF","MRFF","50","3",0.00,1.00,0.00,4.00,0.00,0.00,0.00,45.00,14.00,0.00,0.00,12.00,0.00,447.00,65.00,14.00,178.00,0.00,781.00,30.00,811,0.963,"MRFF503","Fall"
"A","2014","6FCSABAT CNFW","CNFW","52","7",0.00,116.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,116.00,21.00,137,0.847,"CNFW527","Late-fall"
"G","2014","6FCSAFEA FRFH","FRFH","52","1",0.00,0.00,0.00,0.00,10.00,5.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,4.00,23,0.826,"FRFH521","Spring"
"A","2014","6FCSABAT","BATT","54","3",0.00,0.00,22515.0,216.00,1.00,3.00,17.00,817.00,82.00,6.00,0.00,6.00,0.00,11.00,0.00,0.00,50.00,0.00,23724.0,2851.00,26575,0.893,"BATT543","Fall"
"B","2014","6FCSACLR","CLR","54","3",0.00,0.00,3334.00,188.00,0.00,175.00,127.00,4799.00,189.00,0.00,63.00,0.00,0.00,63.00,0.00,0.00,0.00,0.00,8938.00,6856.00,15794,0.566,"CLR543","Fall"
"C","2014","6FCSACOT","COT","54","3",0.00,0.00,720.00,0.00,0.00,0.00,0.00,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,792.00,1148.00,1940,0.408,"COT543","Fall"
"D","2014","6FCSAMLC","MLC","54","3",0.00,0.00,483.00,107.00,0.00,0.00,0.00,483.00,41.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1113.00,1375.00,2488,0.447,"MLC543","Fall"
"D","2014","6FCSAPAY","PAY","54","3",0.00,0.00,39.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.00,33.00,72,0.542,"PAY543","Fall"
"E","2014","6FCSABUT","BUT","54","3",0.00,0.00,0.00,16.00,0.00,0.00,2.00,214.00,6.00,0.00,0.00,0.00,0.00,40.00,8.00,0.00,9.00,0.00,294.00,1118.00,1412,0.208,"BUT543","Fall"
"F","2014","6FCSASAF ABRB","USAC","54","3",0.00,0.00,4608.00,1060.00,112.00,269.00,245.00,9064.00,576.00,89.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,16123.0,13762.0,29885,0.540,"USAC543","Fall"
"F","2014","6FCSASAF ABRB","USAC","54","4",430.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,430.00,2197.00,2627,0.164,"USAC544","Winter"
"F","2014","6FCSASAF ABRB","USAC","54","7",0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.00,0.00,0.00,0.00,0.00,0.00,0.00,51.00,1982.00,2033,0.025,"USAC547","Late-fall"
"G","2014","6FCSAFEA","FEA","54","3",0.00,0.00,149.00,644.00,6245.00,1934.00,895.00,38925.0,1266.00,62.00,99.00,50.00,0.00,99.00,0.00,0.00,0.00,52.00,50420.0,10301.0,60721,0.830,"FEA543","Fall"
"H","2014","6FCSAFEA YUBAADG","YUBA","54","3",0.00,0.00,0.00,494.00,25.00,0.00,50.00,3287.00,200.00,0.00,0.00,99.00,0.00,198.00,100.00,0.00,0.00,0.00,4452.00,4683.00,9135,0.487,"YUBA543","Fall"
"H","2014","6FCSAFEA YUBABDG","YUBB","54","3",0.00,0.00,0.00,135.00,0.00,0.00,20.00,868.00,68.00,7.00,0.00,0.00,0.00,61.00,0.00,0.00,0.00,0.00,1159.00,1410.00,2569,0.451,"YUBB543","Fall"
"I","2014","6FCSAAMN","LARC","54","3",0.00,0.00,27.00,206.00,0.00,2.00,9.00,324.00,36.00,0.00,8048.00,4350.00,5.00,2297.00,397.00,0.00,89.00,0.00,15790.0,8713.00,24503,0.644,"LARC543","Fall"
"I","2014","6FCSAAMN NBFW","NIMW","54","3",0.00,0.00,0.00,12.00,3.00,8.00,8.00,70.00,5.00,0.00,149.00,45.00,0.00,160.00,8.00,0.00,85.00,0.00,554.00,1418.00,1972,0.281,"NIMW593","Fall"
"J","2014","6FCSJMOK","MOKE","54","3",0.00,0.00,0.00,0.00,0.00,0.00,0.00,189.00,0.00,0.00,0.00,0.00,24.00,1945.00,189.00,0.00,165.00,0.00,2511.00,786.00,3297,0.762,"MOKE543","Fall"
"K","2014","6FCSJSTA","STA","54","3",0.00,0.00,0.00,22.00,0.00,0.00,0.00,198.00,50.00,0.00,0.00,0.00,13.00,1280.00,155.00,6.00,256.00,0.00,1981.00,1083.00,3064,0.647,"STA543","Fall"
"L","2014","6FCSJTUO","TUO","54","3",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.00,0.00,86.00,0.00,6.00,0.00,0.00,134.00,72.00,206,0.650,"TUO543","Fall"
"M","2014","6FCSJMER","MER","54","3",0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.00,9.00,0.00,0.00,0.00,0.00,263.00,76.00,29.00,44.00,0.00,496.00,364.00,860,0.577,"MER543","Fall"
"F","2014","6FCSASBF","LSAC","46","3",0.00,156.00,99.00,296.00,0.00,0.00,75.00,1985.00,99.00,0.00,223.00,493.00,0.00,595.00,100.00,0.00,0.00,0.00,4120.00,2386.00,6506,0.633,"LSAC463","Fall"
"F","2014","6FCSASAF","USAC","46","3",0.00,0.00,6697.00,362.00,0.00,118.00,92.00,2085.00,117.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9471.00,3851.00,13322,0.711,"USAC463","Fall"
"F","2014","6FCSASAF","USAC","46","7",0.00,110.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,110.00,171.00,281,0.391,"USAC467","Late-fall"
"G","2014","6FCSAFEA","FEA","46","3",0.00,0.00,0.00,145.00,295.00,184.00,218.00,4663.00,255.00,37.00,0.00,0.00,0.00,291.00,0.00,0.00,0.00,0.00,6088.00,2316.00,8404,0.724,"FEA463","Fall"
"I","2014","6FCSAAMN","AMN","46","3",0.00,0.00,0.00,208.00,53.00,79.00,131.00,1358.00,52.00,0.00,4220.00,1192.00,0.00,2721.00,210.00,0.00,163.00,0.00,10386.0,2134.00,12520,0.830,"AMN463","Fall"
"J","2014","6FCSJMOK","MOKE","46","3",0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00,0.00,60.00,0.00,15.00,1025.00,122.00,0.00,70.00,0.00,1352.00,28.00,1380,0.980,"MOKE463","Fall"
