sort,catchyy,loc_code,location,fishery,sam_run,sacw,cfhlh,cfhfh,cfhfn,frhs,frhsn,frhfk,frhfb,frhfn,frhfnc,nimf,nimfn,mokf,mokfb,mokfn,mokfnc,merft,noncv,hatchery,natural,totalrun,hat_prop,id_code,run
"A","2016","6FCSABAT CNFH","CNFH","50","3",0.00,0.00,6322.00,659.00,0.00,0.00,0.00,0.00,12.00,44.00,0.00,0.00,3.00,1.00,24.00,3.00,4.00,0.00,7072.00,1456.00,8528,0.829,"CNFH503","Fall"
"A","2016","6FCSABAT CNFH","CNFH","50","7",0.00,1657.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1657.00,4.00,1661,0.998,"CNFH507","Late-fall"
"F","2016","6FCSASAF KESW","KESW","50","3",0.00,0.00,72.00,48.00,0.00,0.00,0.00,0.00,58.00,33.00,0.00,4.00,0.00,0.00,8.00,0.00,0.00,0.00,223.00,59.00,282,0.791,"KESW503","Fall"
"F","2016","6FCSASAF KESW","KESW","50","4",110.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,110.00,27.00,137,0.803,"KESW504","Winter"
"F","2016","6FCSASAF KESW","KESW","50","7",0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,11.00,13,0.154,"KESW507","Late-fall"
"G","2016","6FCSAFEA FRFH","FRFH","50","1",0.00,0.00,0.00,0.00,773.00,766.00,0.00,4.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1567.00,83.00,1650,0.950,"FRFH501","Spring"
"G","2016","6FCSAFEA FRFH","FRFH","50","3",0.00,0.00,24.00,1417.00,722.00,919.00,9.00,616.00,13066.0,2613.00,0.00,204.00,23.00,5.00,80.00,14.00,25.00,0.00,19738.0,818.00,20556,0.960,"FRFH503","Fall"
"I","2016","6FCSAAMN NBFH","NBFH","50","3",0.00,0.00,0.00,1307.00,0.00,0.00,0.00,0.00,150.00,87.00,497.00,5525.00,7.00,39.00,558.00,40.00,117.00,0.00,8328.00,1096.00,9424,0.884,"NBFH503","Fall"
"J","2016","6FCSJMOK MRFI","MRFI","50","3",0.00,0.00,0.00,676.00,0.00,0.00,1.00,0.00,108.00,29.00,0.00,2628.00,62.00,92.00,2417.00,70.00,136.00,0.00,6218.00,669.00,6887,0.903,"MRFI503","Fall"
"M","2016","6FCSJMER MRFF","MRFF","50","3",0.00,0.00,0.00,318.00,0.00,0.00,0.00,0.00,36.00,8.00,0.00,128.00,30.00,16.00,1999.00,17.00,102.00,0.00,2653.00,312.00,2965,0.895,"MRFF503","Fall"
