sort,catchyy,loc_code,location,fishery,sam_run,sacw,cfhl,cfhf,cfhfn,frhs,frhf,frhfn,frhfgg,nimf,nimfn,mokf,mokfn,mokfnc,mokfgg,merf,merfn,sjosx,noncv,hatchery,natural,totalrun,hat_prop,id_code,run
"A","2019","6FCSABAT CNFH","CNFH","50","3",0.00,0.00,12789.0,0.00,0.00,2.00,8.00,4.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,12805.0,1464.00,14269,0.897,"CNFH503","Fall"
"A","2019","6FCSABAT CNFH","CNFH","50","4",95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,95,1.000,"CNFH504","Winter"
"A","2019","6FCSABAT CNFH","CNFH","50","7",0.00,3315.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3315.00,76.00,3391,0.978,"CNFH507","Late-fall"
"F","2019","6FCSASAF KESW","KESW","50","4",111.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,111.00,69.00,180,0.617,"KESW504","Winter"
"F","2019","6FCSASAF KESW","KESW","50","7",0.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,6.00,23,0.739,"KESW507","Late-fall"
"G","2019","6FCSAFEA FRFH","FRFH","50","1",0.00,0.00,0.00,0.00,3643.00,0.00,13.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,3662.00,205.00,3867,0.947,"FRFH501","Spring"
"G","2019","6FCSAFEA FRFH","FRFH","50","3",0.00,1.00,32.00,0.00,2656.00,1293.00,8842.00,5453.00,0.00,20.00,0.00,24.00,64.00,7.00,0.00,95.00,5.00,0.00,18492.0,8611.00,27103,0.682,"FRFH503","Fall"
"I","2019","6FCSAAMN NBFH","NBFH","50","3",0.00,0.00,0.00,0.00,0.00,1.00,390.00,366.00,2845.00,3826.00,17.00,1806.00,192.00,294.00,0.00,86.00,0.00,0.00,9823.00,1473.00,11296,0.870,"NBFH503","Fall"
"J","2019","6FCSJMOK MRFI","MRFI","50","3",0.00,1.00,0.00,0.00,0.00,1.00,157.00,125.00,0.00,253.00,110.00,6220.00,281.00,218.00,6.00,227.00,0.00,0.00,7599.00,904.00,8503,0.894,"MRFI503","Fall"
"M","2019","6FCSJMER MRFF","MRFF","50","3",0.00,0.00,0.00,0.00,0.00,0.00,8.00,29.00,0.00,8.00,0.00,84.00,14.00,8.00,117.00,248.00,0.00,0.00,516.00,451.00,967,0.534,"MRFF503","Fall"
"A","2019","6FCSABAT CNFW","CNFW","52","7",4.00,356.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,360.00,5.00,365,0.986,"CNFW527","Late-fall"
"A","2019","6FCSABAT","BATT","54","3",0.00,0.00,18722.0,0.00,0.00,3.00,12.00,6.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,18746.0,2129.00,20875,0.898,"BATT543","Fall"
"B","2019","6FCSACLR","CLR","54","3",0.00,0.00,831.00,0.00,10.00,0.00,39.00,119.00,0.00,0.00,0.00,39.00,0.00,10.00,0.00,0.00,0.00,0.00,1048.00,4664.00,5712,0.183,"CLR543","Fall"
