scenario,climate_year,tdm_model,seed_lo,seed_hi,seed_sd,median_spawners,p25,p75
NB,2011,Bartholow & Heasley (2006),6408.29861816234,6896.706925997516,198.04913815950195,6596.935248323897,6528.98707751324,6658.992498029574
NB,2011,Bratovich et al. (2020),14563.283870419094,15228.484525137621,292.32757639136963,14907.001937457673,14836.949079759897,14979.253761079697
NB,2011,Martin et al. (2017),14.207962770123146,18.039956734784937,1.5949318748354702,15.697422607871752,11.668787577429013,20.81636317797762
NB,2014,Bartholow & Heasley (2006),121.30008806244912,162.32039438727708,19.726131441087528,137.29075210297188,112.45444771058614,165.32167731453617
NB,2014,Bratovich et al. (2020),8897.400226609752,9573.312674820343,328.5806476608707,9202.627534313317,9109.626659250247,9282.980058385176
NB,2014,Martin et al. (2017),0,0,0,0,0,0
NB,2017,Bartholow & Heasley (2006),2425.007181661148,2804.121838941183,161.16652266159298,2651.433023740953,2568.170415760209,2770.6063791315264
NB,2017,Bratovich et al. (2020),13414.721899089105,14073.829689134922,277.9180672531177,13786.61112758938,13731.30610477341,13841.20832056473
NB,2017,Martin et al. (2017),0,1.07641479380236,0.48031046510350717,0.32096455330006024,0,1.4464203743351625
NB,2020,Bartholow & Heasley (2006),5148.228704669162,5744.767318958549,269.7266733870305,5439.030064122541,5387.494774423505,5525.506576518255
NB,2020,Bratovich et al. (2020),13818.325458090483,14502.606569679501,298.8319104144139,14155.401986171802,14083.430423067774,14219.0605628547
NB,2020,Martin et al. (2017),17.684851253922545,23.66728650843261,2.83381934626605,20.433767993718693,15.526063198287597,26.83436869935151
PB1,2011,Bartholow & Heasley (2006),7201.880949608656,7932.47687237301,344.5730206199254,7498.634036925599,7424.589606372877,7570.449899547358
PB1,2011,Bratovich et al. (2020),15958.36634121037,16598.92143616675,319.4112342447585,16232.554590694186,16181.825923472275,16296.729230113486
PB1,2011,Martin et al. (2017),7.7963564034840465,10.806414272041055,1.4510819611773929,9.025568549705177,6.621682491728615,12.45576162961599
PB1,2014,Bartholow & Heasley (2006),227.54910501910794,262.68805244233204,15.884600967364683,244.44881059094334,209.08644257753062,292.3663680595589
PB1,2014,Bratovich et al. (2020),11261.961850348871,11898.109513865911,279.79132358891576,11526.59730102241,11470.347384976489,11594.141172358404
PB1,2014,Martin et al. (2017),0,0,0,0,0,0
PB1,2017,Bartholow & Heasley (2006),2969.200230858435,3455.3187671029054,200.02537675959314,3223.793125407225,3115.952249147905,3315.034736279993
PB1,2017,Bratovich et al. (2020),14301.387328924327,15003.11235975051,292.1562445281615,14667.142048783902,14607.904096114164,14708.114332757026
PB1,2017,Martin et al. (2017),0,0,0,0,0,0.9972906954116922
PB1,2020,Bartholow & Heasley (2006),6302.381015379987,6987.300528781657,288.6126125562507,6525.47457247427,6458.575425810488,6599.947192879815
PB1,2020,Bratovich et al. (2020),15273.20910663901,16070.623683036767,347.54109428359993,15583.142998713702,15535.300954902274,15648.05857395595
PB1,2020,Martin et al. (2017),8.92800689657815,12.639323777957983,1.4080565270055372,10.319187437734291,7.480759781239076,13.911943306782355
PB2,2011,Bartholow & Heasley (2006),11286.279634945822,12042.015223045779,307.83342431736673,11630.03246034246,11573.706334059587,11690.273183028281
PB2,2011,Bratovich et al. (2020),17439.07835229065,18200.77875986115,320.44235694043954,17803.655214115883,17763.5604348448,17843.25108779768
PB2,2011,Martin et al. (2017),52.46941588998287,70.61152058988696,7.421653309922079,58.946749026183845,47.49650253810039,72.51109948030732
PB2,2014,Bartholow & Heasley (2006),4548.746098971062,4972.464864928521,209.86700461564985,4750.080374657107,4693.200754923377,4841.27783809806
PB2,2014,Bratovich et al. (2020),15539.78091625994,16153.969248821182,286.91254059905276,15814.701734814003,15776.78390609793,15859.792702426575
PB2,2014,Martin et al. (2017),0,0,0,0,0,1.2160075480061054
PB2,2017,Bartholow & Heasley (2006),5796.975241815368,6119.083418727103,169.30321967980473,5930.57484051865,5858.800380315465,6009.4210840057895
PB2,2017,Bratovich et al. (2020),15923.776398950307,16501.610368255897,279.23348438725304,16170.993776223871,16121.106117266236,16225.500339827231
PB2,2017,Martin et al. (2017),1.8420663611577988,2.2577711554450985,0.17728242990452953,2.03832176195442,1.3574953003057995,3.0388325504825517
PB2,2020,Bartholow & Heasley (2006),10640.14742337797,11449.180975454887,353.7006615357908,11018.11717926928,10963.362570797855,11081.056372379864
PB2,2020,Bratovich et al. (2020),17070.764451959414,17812.298301621562,319.18891246058257,17406.41803080138,17363.857858689127,17453.937304376494
PB2,2020,Martin et al. (2017),62.30626717543947,83.3735313990195,9.198362049694675,73.98138660704282,60.97229453732523,90.7120827282492
PB2b,2011,Bartholow & Heasley (2006),12302.16190940133,12996.922191197144,360.9324391580578,12579.611043380335,12520.343075579463,12632.759234025607
PB2b,2011,Bratovich et al. (2020),17767.214498111447,18433.95360365648,315.4824199661657,18063.354824076912,18037.444165959703,18097.75376148604
PB2b,2011,Martin et al. (2017),139.7301765348689,181.83087292060918,16.519640481587036,159.56527622651765,135.84271271358776,186.19740556328085
PB2b,2014,Bartholow & Heasley (2006),6132.710172050206,6622.128450638829,237.7520820408569,6371.337865075841,6305.994409655346,6460.225177190496
PB2b,2014,Bratovich et al. (2020),16054.459016427634,16672.556257927296,274.65402831869545,16333.666353085677,16293.63369766265,16371.687734423576
PB2b,2014,Martin et al. (2017),2.5302721453752803,3.2628099887400737,0.3023670482594978,2.9735855478843907,2.0188033904903717,4.325137733941641
PB2b,2017,Bartholow & Heasley (2006),7922.485225064111,8581.294646017497,321.12771191647045,8215.907761540186,8165.010287815008,8268.718011989968
PB2b,2017,Bratovich et al. (2020),16486.67703266492,17160.658273290093,308.1470792756308,16787.51400382879,16739.04216752043,16817.428337092068
PB2b,2017,Martin et al. (2017),6.594777137795859,8.227318959969644,0.6479299019934288,7.403915995915799,5.338495445021246,10.28448383209311
PB2b,2020,Bartholow & Heasley (2006),11797.11674509589,12230.732004841473,201.91702574136121,11960.283982549025,11906.629132904496,12045.186437005661
PB2b,2020,Bratovich et al. (2020),17344.316249062707,17968.485685977685,274.3662030922807,17615.612253094157,17580.129814193868,17666.02135023909
PB2b,2020,Martin et al. (2017),163.94956794509983,198.21370214657765,17.67894268754073,178.8371194828843,151.69165685406404,208.0104943358794
PB2c,2011,Bartholow & Heasley (2006),12854.682918453525,13458.257325645172,251.70710618878982,13200.226401476326,13137.37177876509,13268.706020664038
PB2c,2011,Bratovich et al. (2020),17568.121033766387,18202.92010612322,271.55158678066437,17896.772391770006,17864.333917218897,17937.021996366635
PB2c,2011,Martin et al. (2017),282.7895692307412,360.2399262372104,32.730599773995756,320.7790644662915,282.33251813289064,358.05759953790397
PB2c,2014,Bartholow & Heasley (2006),7564.547149805987,8028.949684917656,209.11194952791635,7776.399936408046,7716.534411928866,7856.3482295383865
PB2c,2014,Bratovich et al. (2020),16207.319350845972,16831.077626108967,298.16995258532387,16445.34925730473,16402.13714959403,16483.551072753588
PB2c,2014,Martin et al. (2017),6.499863578749919,8.385355096396355,0.7006424606769637,7.4801524773222825,5.49871955006695,10.508943224350825
PB2c,2017,Bartholow & Heasley (2006),8984.561030104329,9577.758591415019,253.49050664164912,9257.851487519667,9192.222234993093,9354.197029141504
PB2c,2017,Bratovich et al. (2020),16581.5265294693,17256.110869034772,304.9752418450157,16915.624671992584,16874.85698898984,16978.846888775424
PB2c,2017,Martin et al. (2017),13.900346612974317,17.078266593796958,1.3041156888391094,14.96993596813764,11.0384293506024,19.572818011796667
PB2c,2020,Bartholow & Heasley (2006),12350.981129331209,13124.670827340073,364.92801419530645,12723.11022347877,12661.337834453203,12782.387377388963
PB2c,2020,Bratovich et al. (2020),17226.001565221824,17950.23385833989,340.98200502658705,17556.694173680757,17509.94552326222,17596.30800819032
PB2c,2020,Martin et al. (2017),333.53851390659065,415.8472098912274,34.02694039985326,369.8831175709506,331.89910811047656,414.89305486255506
PB3,2011,Bartholow & Heasley (2006),8643.943969336338,9287.5019666313965,244.62007142728473,8990.024446656416,8937.13505440006,9040.815806420234
PB3,2011,Bratovich et al. (2020),16571.55087740005,17254.89688539969,282.29785359381367,16884.1658817049,16825.749328554783,16927.571639878275
PB3,2011,Martin et al. (2017),8.23212178198447,10.811879901306142,0.9523221242479087,9.655201404247016,7.003692455195868,13.114740263142691
PB3,2014,Bartholow & Heasley (2006),537.6122337523528,664.7236553865903,55.83934960287958,591.3143642034398,527.4401011110468,665.6421984341106
PB3,2014,Bratovich et al. (2020),12592.25139573494,13276.112950903822,276.60798676254814,12942.241345504099,12900.315435100107,12990.841819947682
PB3,2014,Martin et al. (2017),0,0,0,0,0,0
PB3,2017,Bartholow & Heasley (2006),2655.459286505789,3044.2682280804543,157.13944109393242,2882.8490409500855,2789.1602189010746,2987.4517895358736
PB3,2017,Bratovich et al. (2020),14615.479010258037,15324.247224427701,305.51280986365066,14978.461261982362,14932.065544450063,15028.742014941801
PB3,2017,Martin et al. (2017),0,0,0,0,0,0.05204675270563357
PB3,2020,Bartholow & Heasley (2006),8117.31729277709,8604.954615426275,241.26428949271929,8336.855635564203,8254.291910305144,8422.968216690704
