"brood_year","release_groups","number_released","expanded_returns","sar_pooled","sar_pooled_percent"
2008,1,270000,157.59935281626,0.000583701306726891,0.0583701306726891
2009,1,274514,1503.38654856426,0.00547653871410662,0.547653871410662
2010,1,271171,2579.72407039869,0.00951327417164332,0.951327417164332
2011,3,3492113,7542.66164651874,0.00215991339527637,0.215991339527637
2012,3,3277594,6591.39755479102,0.00201104760223232,0.201104760223232
2015,4,2770112,1587.71302353804,0.00057315842230857,0.057315842230857
2016,4,2367561,13201.6272619966,0.0055760452474072,0.55760452474072
2017,2,1336727,322.846236036326,0.000241519948378634,0.0241519948378634
2018,4,2602318,3388.91578213785,0.00130226812485555,0.130226812485555
2019,4,2594954,7529.11817025919,0.00290144571744208,0.290144571744208
