"weighting","scenario","adult_index","steelhead_score","hydro_revenue_loss","chinook_norm","steelhead_norm","hydro_norm","composite","rank"
"Bratovich only (1, 0, 0)","NB",12827.5467136572,48.75,0,0,0,1,0.5,7
"Bratovich only (1, 0, 0)","PB1",14285.222121456,52,111422,0.347664749621402,0.8125,0.762977302218724,0.601804550957923,1
"Bratovich only (1, 0, 0)","PB2",16602.3966215711,52.5,370826,0.900325436699988,0.9375,0.211159565189645,0.559459957274817,4
"Bratovich only (1, 0, 0)","PB2b",16990.0667682834,52.5,470090,0.992787204094398,0.9375,0,0.490864881637759,8
"Bratovich only (1, 0, 0)","PB2c",17020.3083019003,51.25,433215,1,0.625,0.0784424259184412,0.501721212959221,6
"Bratovich only (1, 0, 0)","PB3",15146.3185080052,51.25,201552,0.553041651795818,0.625,0.571248058882342,0.569340690159498,2
"Bratovich only (1, 0, 0)","PB4",15573.0967527449,51.25,241590,0.654830946454606,0.625,0.486077134165798,0.567470945664742,3
"Bratovich only (1, 0, 0)","PB5",15053.0467298923,49,199382,0.530795746287031,0.0625,0.575864196217746,0.506500396623685,5
"Bratovich only (1, 0, 0)","PB6",15499.247035415,52.75,348806,0.637217324555147,1,0.258001659256738,0.483887759450428,9
"Bartholow only (0, 1, 0)","NB",3617.3771157643,48.75,0,0,0,1,0.5,2
"Bartholow only (0, 1, 0)","PB1",4246.59106865138,52,111422,0.0897526112275952,0.8125,0.762977302218724,0.4986396956004,3
"Bartholow only (0, 1, 0)","PB2",8198.30083619533,52.5,370826,0.653434120233025,0.9375,0.211159565189645,0.460703430688032,4
"Bartholow only (0, 1, 0)","PB2b",9610.90491105835,52.5,470090,0.85493140707474,0.9375,0,0.435722562829896,7
"Bartholow only (0, 1, 0)","PB2c",10627.9135701469,51.25,433215,1,0.625,0.0784424259184412,0.501721212959221,1
"Bartholow only (0, 1, 0)","PB3",5116.0989567343,51.25,201552,0.213781334812557,0.625,0.571248058882342,0.433636563366194,8
"Bartholow only (0, 1, 0)","PB4",6171.45980059504,51.25,241590,0.364320576813216,0.625,0.486077134165798,0.451266797808186,5
"Bartholow only (0, 1, 0)","PB5",6296.26225685448,49,199382,0.382122703236997,0.0625,0.575864196217746,0.447031179403672,6
"Bartholow only (0, 1, 0)","PB6",4940.9622076069,52.75,348806,0.188799402221947,1,0.258001659256738,0.304520590517148,9
"Martin only (0, 0, 1)","NB",7.97320350601142,48.75,0,0.0267047758752236,0,1,0.510681910350089,1
"Martin only (0, 0, 1)","PB1",4.65772807507307,52,111422,0.00692321600788007,0.8125,0.762977302218724,0.465507937512514,3
"Martin only (0, 0, 1)","PB2",32.8427354513147,52.5,370826,0.17508715580726,0.9375,0.211159565189645,0.269364644917726,8
"Martin only (0, 0, 1)","PB2b",82.8488000343071,52.5,470090,0.473444957239903,0.9375,0,0.283127982895961,7
"Martin only (0, 0, 1)","PB2c",171.101714314835,51.25,433215,1,0.625,0.0784424259184412,0.501721212959221,2
"Martin only (0, 0, 1)","PB3",5.05628631945213,51.25,201552,0.00930118681057016,0.625,0.571248058882342,0.351844504165399,4
"Martin only (0, 0, 1)","PB4",13.0668780983093,51.25,241590,0.0570958407439471,0.625,0.486077134165798,0.328376903380478,6
"Martin only (0, 0, 1)","PB5",23.598957240171,49,199382,0.119934778450499,0.0625,0.575864196217746,0.342156009489072,5
"Martin only (0, 0, 1)","PB6",3.4973669745767,52.75,348806,0,1,0.258001659256738,0.229000829628369,9
"Equal (1/3, 1/3, 1/3)","NB",5484.29901097583,48.75,0,0,0,1,0.5,3
"Equal (1/3, 1/3, 1/3)","PB1",6178.82363939414,52,111422,0.183309492694107,0.8125,0.762977302218724,0.536062448187005,1
"Equal (1/3, 1/3, 1/3)","PB2",8277.84673107258,52.5,370826,0.737315560074413,0.9375,0.211159565189645,0.494256006624587,4
"Equal (1/3, 1/3, 1/3)","PB2b",8894.6068264587,52.5,470090,0.900100255639026,0.9375,0,0.45379010225561,8
"Equal (1/3, 1/3, 1/3)","PB2c",9273.10786212066,51.25,433215,1,0.625,0.0784424259184412,0.501721212959221,2
"Equal (1/3, 1/3, 1/3)","PB3",6755.82458368632,51.25,201552,0.335600348992607,0.625,0.571248058882342,0.482364169038214,6
"Equal (1/3, 1/3, 1/3)","PB4",7252.54114381276,51.25,241590,0.466701330763264,0.625,0.486077134165798,0.492219099388205,5
"Equal (1/3, 1/3, 1/3)","PB5",7124.30264799564,49,199382,0.432854678462933,0.0625,0.575864196217746,0.467323969494046,7
"Equal (1/3, 1/3, 1/3)","PB6",6814.56886999884,52.75,348806,0.351105033609982,1,0.258001659256738,0.369442843072362,9
"Elicited (0.51, 0.24, 0.25)","NB",7412.2126326251,48.75,0,0,0,1,0.5,6
"Elicited (0.51, 0.24, 0.25)","PB1",8305.80957043764,52,111422,0.231404722075218,0.8125,0.762977302218724,0.555300539939449,1
"Elicited (0.51, 0.24, 0.25)","PB2",10443.025161551,52.5,370826,0.784855342762274,0.9375,0.211159565189645,0.513271919699732,3
"Elicited (0.51, 0.24, 0.25)","PB2b",10992.2634304871,52.5,470090,0.927085383620933,0.9375,0,0.464584153448373,8
"Elicited (0.51, 0.24, 0.25)","PB2c",11273.8319193831,51.25,433215,1,0.625,0.0784424259184412,0.501721212959221,5
"Elicited (0.51, 0.24, 0.25)","PB3",8953.75026027875,51.25,201552,0.399194615828594,0.625,0.571248058882342,0.507801875772608,4
"Elicited (0.51, 0.24, 0.25)","PB4",9426.6964155673,51.25,241590,0.521668148346506,0.625,0.486077134165798,0.514205826421501,2
"Elicited (0.51, 0.24, 0.25)","PB5",9194.05651320018,49,199382,0.46142401626314,0.0625,0.575864196217746,0.478751704614129,7
"Elicited (0.51, 0.24, 0.25)","PB6",9091.32125963097,52.75,348806,0.434819826170786,1,0.258001659256738,0.402928760096683,9
