"w_martin","top_alternative","top_score"
0,"PB1",0.556375283023955
0.002,"PB1",0.556368753095444
0.004,"PB1",0.556362197785319
0.006,"PB1",0.556355616945304
0.008,"PB1",0.556349010425969
0.01,"PB1",0.556342378076713
0.012,"PB1",0.556335719745756
0.014,"PB1",0.556329035280128
0.016,"PB1",0.556322324525652
0.018,"PB1",0.55631558732694
0.02,"PB1",0.556308823527375
0.022,"PB1",0.5563020329691
0.024,"PB1",0.556295215493008
0.026,"PB1",0.556288370938727
0.028,"PB1",0.55628149914461
0.03,"PB1",0.556274599947719
0.032,"PB1",0.556267673183815
0.034,"PB1",0.556260718687344
0.036,"PB1",0.556253736291423
0.038,"PB1",0.556246725827828
0.04,"PB1",0.556239687126979
0.042,"PB1",0.556232620017928
0.044,"PB1",0.556225524328344
0.046,"PB1",0.556218399884498
0.048,"PB1",0.556211246511253
0.05,"PB1",0.556204064032045
0.052,"PB1",0.556196852268869
0.054,"PB1",0.556189611042268
0.056,"PB1",0.556182340171315
0.058,"PB1",0.556175039473598
0.06,"PB1",0.556167708765205
0.062,"PB1",0.556160347860709
0.064,"PB1",0.556152956573154
0.066,"PB1",0.556145534714035
0.068,"PB1",0.556138082093287
0.07,"PB1",0.556130598519262
0.072,"PB1",0.556123083798723
0.074,"PB1",0.556115537736814
0.076,"PB1",0.556107960137056
0.078,"PB1",0.556100350801322
0.08,"PB1",0.556092709529821
0.082,"PB1",0.556085036121084
0.084,"PB1",0.55607733037194
0.086,"PB1",0.556069592077506
0.088,"PB1",0.556061821031162
0.09,"PB1",0.556054017024536
0.092,"PB1",0.556046179847485
0.094,"PB1",0.556038309288076
0.096,"PB1",0.556030405132564
0.098,"PB1",0.55602246716538
0.1,"PB1",0.556014495169103
0.102,"PB1",0.556006488924445
0.104,"PB1",0.555998448210231
0.106,"PB1",0.555990372803375
0.108,"PB1",0.555982262478864
0.11,"PB1",0.555974117009733
0.112,"PB1",0.555965936167049
0.114,"PB1",0.555957719719881
0.116,"PB1",0.555949467435289
0.118,"PB1",0.555941179078293
0.12,"PB1",0.555932854411855
0.122,"PB1",0.555924493196857
0.124,"PB1",0.555916095192074
0.126,"PB1",0.555907660154156
0.128,"PB1",0.555899187837602
0.13,"PB1",0.555890677994734
0.132,"PB1",0.555882130375678
0.134,"PB1",0.555873544728333
0.136,"PB1",0.555864920798354
0.138,"PB1",0.555856258329119
0.14,"PB1",0.555847557061709
0.142,"PB1",0.555838816734882
0.144,"PB1",0.555830037085042
0.146,"PB1",0.555821217846217
0.148,"PB1",0.555812358750033
0.15,"PB1",0.555803459525683
0.152,"PB1",0.555794519899899
0.154,"PB1",0.555785539596931
0.156,"PB1",0.55577651833851
0.158,"PB1",0.555767455843825
0.16,"PB1",0.555758351829491
0.162,"PB1",0.55574920600952
0.164,"PB1",0.555740018095293
0.166,"PB1",0.555730787795526
0.168,"PB1",0.555721514816244
0.17,"PB1",0.555712198860745
0.172,"PB1",0.55570283962957
0.174,"PB1",0.555693436820473
0.176,"PB1",0.555683990128387
0.178,"PB1",0.55567449924539
0.18,"PB1",0.555664963860671
0.182,"PB1",0.5556553836605
0.184,"PB1",0.555645758328189
0.186,"PB1",0.555636087544061
0.188,"PB1",0.555626370985412
0.19,"PB1",0.555616608326475
0.192,"PB1",0.555606799238384
0.194,"PB1",0.555596943389141
0.196,"PB1",0.555587040443571
0.198,"PB1",0.55557709006329
0.2,"PB1",0.555567091906664
0.202,"PB1",0.555557045628772
0.204,"PB1",0.555546950881362
0.206,"PB1",0.555536807312816
0.208,"PB1",0.555526614568105
0.21,"PB1",0.55551637228875
0.212,"PB1",0.555506080112779
0.214,"PB1",0.555495737674685
0.216,"PB1",0.555485344605382
0.218,"PB1",0.555474900532162
0.22,"PB1",0.555464405078649
0.222,"PB1",0.555453857864755
0.224,"PB1",0.555443258506634
0.226,"PB1",0.555432606616635
0.228,"PB1",0.555421901803255
0.23,"PB1",0.555411143671091
0.232,"PB1",0.555400331820791
0.234,"PB1",0.555389465849006
0.236,"PB1",0.555378545348337
0.238,"PB1",0.555367569907287
0.24,"PB1",0.555356539110208
0.242,"PB1",0.555345452537248
0.244,"PB1",0.5553343097643
0.246,"PB1",0.555323110362943
0.248,"PB1",0.555311853900395
0.25,"PB1",0.555300539939449
0.252,"PB1",0.555289168038421
0.254,"PB1",0.555277737751093
0.256,"PB1",0.55526624862665
0.258,"PB1",0.555254700209628
0.26,"PB1",0.555243092039847
0.262,"PB1",0.555231423652352
0.264,"PB1",0.555219694577355
0.266,"PB1",0.555207904340164
0.268,"PB1",0.555196052461127
0.27,"PB1",0.555184138455563
0.272,"PB1",0.555172161833694
0.274,"PB1",0.555160122100582
0.276,"PB1",0.555148018756059
0.278,"PB1",0.555135851294657
0.28,"PB1",0.55512361920554
0.282,"PB1",0.555111321972428
0.284,"PB1",0.55509895907353
0.286,"PB1",0.555086529981467
0.288,"PB1",0.555074034163197
0.29,"PB1",0.555061471079938
0.292,"PB1",0.555048840187094
0.294,"PB1",0.555036140934173
0.296,"PB1",0.555023372764708
0.298,"PB1",0.555010535116177
0.3,"PB1",0.554997627419919
0.302,"PB1",0.554984649101048
0.304,"PB1",0.554971599578373
0.306,"PB1",0.554958478264307
0.308,"PB1",0.55494528456478
0.31,"PB1",0.554932017879149
0.312,"PB1",0.554918677600107
0.314,"PB1",0.554905263113592
0.316,"PB1",0.55489177379869
0.318,"PB1",0.554878209027541
0.32,"PB1",0.55486456816524
0.322,"PB1",0.554850850569741
0.324,"PB1",0.554837055591752
0.326,"PB1",0.554823182574637
0.328,"PB1",0.554809230854308
0.33,"PB1",0.554795199759122
0.332,"PB1",0.554781088609771
0.334,"PB1",0.554766896719173
0.336,"PB1",0.554752623392362
0.338,"PB1",0.554738267926372
0.34,"PB1",0.554723829610124
0.342,"PB1",0.554709307724307
0.344,"PB1",0.554694701541257
