sort,catchyy,loc_code,location,fishery,sam_run,sacw,cfhl,cfhlh,cfhf,cfhfh,frhs,frhf,frhfn,frhfgg,nimf,nimfn,mokf,mokfn,mokfnc,mokfgg,merf,merfn,sjosx,noncv,hatchery,natural,totalrun,hat_prop,id_code,run
"A","2021","6FCSABAT CNFH","CNFH","50","3",0.00,1.00,0.00,14449.0,0.00,0.00,0.00,183.00,4.00,0.00,4.00,0.00,0.00,1.00,8.00,0.00,4.00,0.00,0.00,14654.0,1784.00,16438,0.891,"CNFH503","Fall"
"A","2021","6FCSABAT CNFH","CNFH","50","4",59.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.00,188.00,247,0.239,"CNFH504","Winter"
"A","2021","6FCSABAT CNFH","CNFH","50","7",0.00,2309.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2309.00,1.00,2310,1.000,"CNFH507","Late-fall"
"F","2021","6FCSASAF KESW","KESW","50","4",243.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,243.00,55.00,298,0.815,"KESW504","Winter"
"G","2021","6FCSAFEA FRFH","FRFH","50","1",0.00,0.00,0.00,0.00,0.00,1590.00,0.00,12.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,1617.00,105.00,1722,0.939,"FRFH501","Spring"
"G","2021","6FCSAFEA FRFH","FRFH","50","3",0.00,0.00,0.00,10.00,0.00,1635.00,75.00,6708.00,772.00,48.00,217.00,2.00,133.00,41.00,120.00,0.00,130.00,29.00,0.00,9920.00,2465.00,12385,0.801,"FRFH503","Fall"
"I","2021","6FCSAAMN NBFH","NBFH","50","3",0.00,0.00,0.00,4.00,0.00,0.00,0.00,138.00,24.00,2091.00,4080.00,16.00,1824.00,241.00,976.00,0.00,172.00,1.00,0.00,9567.00,1510.00,11077,0.864,"NBFH503","Fall"
"J","2021","6FCSJMOK MRFI","MRFI","50","3",0.00,0.00,0.00,4.00,0.00,0.00,0.00,178.00,20.00,8.00,430.00,54.00,2146.00,99.00,564.00,0.00,247.00,1.00,0.00,3751.00,466.00,4217,0.889,"MRFI503","Fall"
"M","2021","6FCSJMER MRFF","MRFF","50","3",0.00,1.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,20.00,0.00,162.00,0.00,27.00,0.00,46.00,2.00,0.00,266.00,1.00,267,0.996,"MRFF503","Fall"
"A","2021","6FCSABAT CNFW","CNFW","52","7",0.00,74.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.00,0.00,74,1.000,"CNFW527","Late-fall"
"A","2021","6FCSABAT","BATT","54","3",0.00,1.00,0.00,15354.0,0.00,0.00,0.00,195.00,4.00,0.00,4.00,0.00,0.00,1.00,9.00,0.00,4.00,0.00,0.00,15572.0,1881.00,17453,0.892,"BATT543","Fall"
"B","2021","6FCSACLR","CLR","54","3",0.00,0.00,0.00,6407.00,0.00,0.00,0.00,3193.00,686.00,57.00,227.00,0.00,0.00,14.00,57.00,0.00,133.00,0.00,0.00,10774.0,9093.00,19867,0.542,"CLR543","Fall"
