WY,Basin,Index,Code,Classification,Type
2024,Sacramento Valley,8.45,AN,Above Normal,SacPAS Calculated
2023,Sacramento Valley,9.33,W,Wet,Reconstructed
2022,Sacramento Valley,4.55,C,Critical,Reconstructed
2021,Sacramento Valley,3.8,C,Critical,Reconstructed
2020,Sacramento Valley,6.12,D,Dry,Reconstructed
2019,Sacramento Valley,10.34,W,Wet,Reconstructed
2018,Sacramento Valley,7.14,BN,Below Normal,Reconstructed
2017,Sacramento Valley,14.14,W,Wet,Reconstructed
2016,Sacramento Valley,6.71,BN,Below Normal,Reconstructed
2015,Sacramento Valley,4,C,Critical,Reconstructed
2014,Sacramento Valley,4.07,C,Critical,Reconstructed
2013,Sacramento Valley,5.83,D,Dry,Reconstructed
2012,Sacramento Valley,6.89,BN,Below Normal,Reconstructed
2011,Sacramento Valley,10.54,W,Wet,Reconstructed
2010,Sacramento Valley,7.08,BN,Below Normal,Reconstructed
2009,Sacramento Valley,5.78,D,Dry,Reconstructed
2008,Sacramento Valley,5.16,C,Critical,Reconstructed
2007,Sacramento Valley,6.19,D,Dry,Reconstructed
2006,Sacramento Valley,13.2,W,Wet,Reconstructed
2005,Sacramento Valley,8.49,AN,Above Normal,Reconstructed
2004,Sacramento Valley,7.51,BN,Below Normal,Reconstructed
2003,Sacramento Valley,8.21,AN,Above Normal,Reconstructed
2002,Sacramento Valley,6.35,D,Dry,Reconstructed
2001,Sacramento Valley,5.76,D,Dry,Reconstructed
2000,Sacramento Valley,8.94,AN,Above Normal,Reconstructed
1999,Sacramento Valley,9.8,W,Wet,Reconstructed
1998,Sacramento Valley,13.31,W,Wet,Reconstructed
1997,Sacramento Valley,10.82,W,Wet,Reconstructed
1996,Sacramento Valley,10.26,W,Wet,Reconstructed
1995,Sacramento Valley,12.89,W,Wet,Reconstructed
1994,Sacramento Valley,5.02,C,Critical,Reconstructed
1993,Sacramento Valley,8.54,AN,Above Normal,Reconstructed
1992,Sacramento Valley,4.06,C,Critical,Reconstructed
1991,Sacramento Valley,4.21,C,Critical,Reconstructed
1990,Sacramento Valley,4.81,C,Critical,Reconstructed
1989,Sacramento Valley,6.13,D,Dry,Reconstructed
1988,Sacramento Valley,4.65,C,Critical,Reconstructed
1987,Sacramento Valley,5.86,D,Dry,Reconstructed
1986,Sacramento Valley,9.96,W,Wet,Reconstructed
1985,Sacramento Valley,6.47,D,Dry,Reconstructed
1984,Sacramento Valley,10,W,Wet,Reconstructed
1983,Sacramento Valley,15.29,W,Wet,Reconstructed
1982,Sacramento Valley,12.76,W,Wet,Reconstructed
1981,Sacramento Valley,6.21,D,Dry,Reconstructed
1980,Sacramento Valley,9.04,AN,Above Normal,Reconstructed
1979,Sacramento Valley,6.67,BN,Below Normal,Reconstructed
