return_year,age,n
2003,3,6890.5199999999995
2004,3,1396.5
2004,4,1617.1
2005,4,246.05
2005,5,65.75
2006,5,1
2009,3,278.98
2010,3,901.36
2010,4,39.58
2011,3,2373.85
2011,4,118.87
2012,3,6529.43
2012,4,374.89
2012,5,1.01
2013,3,6935.76
2013,4,2266.1
2014,3,2144.9900000000002
2014,4,2487.35
2014,5,9.49
2015,3,1570.8
2015,4,668.55
2015,5,24.080000000000002
2016,3,1412.23
2016,4,489.62
2016,5,47.980000000000004
2017,3,1117.48
2017,4,143.29
2017,5,20.34
2017,6,2
2018,3,1378.42
2018,4,120.07000000000001
2018,5,3.29
2019,3,4569.2
2019,4,54.04
2019,5,4.62
2020,3,2619.24
2020,4,1262.88
2020,5,1.88
2021,3,1498.4
2021,4,421
2021,5,4.8
2022,3,3069.92
2022,4,179.78
2022,5,4
2023,3,6252.92
2023,4,904.67
2023,5,13
2024,3,9.37
2024,4,167.03
