return_year,age,n
2011,3,2462.78
2011,4,137.34
2012,3,6686.79
2012,4,376.92
2012,5,1.01
2013,3,7053.6
2013,4,2324.55
2014,3,2186.87
2014,4,2523.98
2014,5,20.759999999999998
2015,3,1745.6000000000001
2015,4,824.05
2015,5,25.080000000000002
2016,3,1824.74
2016,4,511.71000000000004
2016,5,47.980000000000004
2017,3,2128.47
2017,4,161.65
2017,5,20.34
2017,6,2
2018,3,1545.47
2018,4,133.93
2018,5,3.29
2019,3,4711.66
2019,4,55.04
2019,5,5.62
2020,3,2768.35
2020,4,1326.96
2020,5,1.88
2021,3,1658.95
2021,4,576.14
2021,5,4.8
2022,3,3408.4
2022,4,193.42000000000002
2022,5,4
2023,3,9267.59
2023,4,984.9499999999999
2023,5,13
2024,3,12.04
2024,4,246.5
2024,5,2.67
