return_year,age,n,total,prop
2003,3,6890.5199999999995,6890.5199999999995,1
2004,3,1396.5,3013.6,0.4633992567029467
2004,4,1617.1,3013.6,0.5366007432970533
2005,4,246.05,311.8,0.7891276459268762
2005,5,65.75,311.8,0.2108723540731238
2006,5,1,1,1
2009,3,278.98,278.98,1
2010,3,901.36,940.94,0.9579356813399367
2010,4,39.58,940.94,0.042064318660063334
2011,3,2373.85,2492.72,0.9523131358515999
2011,4,118.87,2492.72,0.04768686414840015
2012,3,6529.43,6905.33,0.9455637891310047
2012,4,374.89,6905.33,0.054289947040908976
2012,5,1.01,6905.33,1.462638280864202e-4
2013,3,6935.76,9201.86,0.7537345710541129
2013,4,2266.1,9201.86,0.246265428945887
2014,3,2144.9900000000002,4641.83,0.4621000769093225
2014,4,2487.35,4641.83,0.5358554707949236
2014,5,9.49,4641.83,0.0020444522957540454
2015,3,1570.8,2263.43,0.6939909782940051
2015,4,668.55,2263.43,0.2953703008266215
2015,5,24.080000000000002,2263.43,0.010638720879373342
2016,3,1412.23,1949.83,0.7242836554981716
2016,4,489.62,1949.83,0.2511090710472195
2016,5,47.980000000000004,1949.83,0.024607273454608867
2017,3,1117.48,1283.11,0.8709151982293023
2017,4,143.29,1283.11,0.11167397962762352
2017,5,20.34,1283.11,0.015852109328116842
2017,6,2,1283.11,0.0015587128149574083
2018,3,1378.42,1501.78,0.9178574757953896
2018,4,120.07000000000001,1501.78,0.07995179054189029
2018,5,3.29,1501.78,0.0021907336627202388
2019,3,4569.2,4627.86,0.9873245949531749
2019,4,54.04,4627.86,0.011677103456025031
2019,5,4.62,4627.86,9.983015908000676e-4
2020,3,2619.24,3884,0.674366632337796
2020,4,1262.88,3884,0.3251493305870237
2020,5,1.88,3884,4.8403707518022656e-4
2021,3,1498.4,1924.2,0.7787132314728199
2021,4,421,1924.2,0.21879222534040121
2021,5,4.8,1924.2,0.002494543186778921
2022,3,3069.92,3253.7000000000003,0.9435166118572701
2022,4,179.78,3253.7000000000003,0.055254018502013086
2022,5,4,3253.7000000000003,0.0012293696407167224
2023,3,6252.92,7170.59,0.872023083177256
2023,4,904.67,7170.59,0.12616395582511342
2023,5,13,7170.59,0.0018129609976305994
2024,3,9.37,176.4,0.05311791383219954
2024,4,167.03,176.4,0.9468820861678005
