return_year,age,n,total,prop
2011,3,89.38,89.38,1
2012,3,874.28,876.31,0.997683468179069
2012,4,2.0300000000000002,876.31,0.0023165318209309497
2013,3,1664.57,2110.64,0.788656521244741
2013,4,446.07,2110.64,0.21134347875525908
2014,3,1326.59,2079.48,0.6379431396310615
2014,4,752.8900000000001,2079.48,0.3620568603689384
2015,3,1387.75,1822.8799999999999,0.7612953129114369
2015,4,425.32,1822.8799999999999,0.2333230931273589
2015,5,9.81,1822.8799999999999,0.005381593961204249
2016,4,336.92,344.76,0.9772595428704026
2016,5,7.84,344.76,0.0227404571295974
2017,5,6.29,6.29,1
2018,3,309.08,309.08,1
2019,3,2281.59,2289.23,0.9966626332871752
2019,4,7.64,2289.23,0.003337366712824836
2020,3,54,557.08,0.09693401306814102
2020,4,503.08000000000004,557.08,0.903065986931859
2021,3,791.62,812.58,0.9742056166777424
2021,4,16.16,812.58,0.01988727263777105
2021,5,4.8,812.58,0.00590711068448645
2022,3,1253.75,1344.88,0.9322393075962166
2022,4,91.13000000000001,1344.88,0.06776069240378324
2023,4,246.93,247.93,0.9959666034767878
2023,5,1,247.93,0.0040333965232121965
